question_type,routes,questions,A_correct,A_accuracy,A_supported,A_partially_supported,A_unsupported,A_contradicted,A_unreviewable,B_correct,B_accuracy,B_supported,B_partially_supported,B_unsupported,B_contradicted,B_unreviewable,D_correct,D_accuracy,D_supported,D_partially_supported,D_unsupported,D_contradicted,D_unreviewable
navigation/object_retrieval,9,3,0,0.0,0,1,2,0,0,0,0.0,0,1,1,0,1,0,0.0,1,2,0,0,0
navigation/object_retrieval_image,9,3,1,0.3333333333333333,0,0,1,0,2,0,0.0,0,0,1,0,2,2,0.6666666666666666,0,2,1,0,0
navigation/room_to_room,6,2,0,0.0,0,1,1,0,0,0,0.0,1,1,0,0,0,0,0.0,0,2,0,0,0
navigation/room_to_room_image,6,2,0,0.0,0,0,2,0,0,1,0.5,0,0,2,0,0,0,0.0,1,1,0,0,0
perception/information_retrieval/factual_recall,189,63,27,0.42857142857142855,10,18,15,2,18,27,0.42857142857142855,19,23,7,3,11,27,0.42857142857142855,20,34,5,4,0
perception/information_retrieval/sequence_recall,66,22,6,0.2727272727272727,3,5,4,6,4,9,0.4090909090909091,7,7,2,3,3,5,0.22727272727272727,8,9,2,3,0
perception/information_retrieval/temporal_distance,24,8,2,0.25,2,2,2,1,1,1,0.125,1,2,2,2,1,1,0.125,2,5,0,1,0
perception/tracking,12,4,2,0.5,1,1,0,0,2,1,0.25,1,2,0,0,1,2,0.5,2,2,0,0,0
reasoning/causal,12,4,1,0.25,0,1,2,0,1,1,0.25,1,2,0,0,1,1,0.25,0,2,1,1,0
reasoning/counterfactual,15,5,1,0.2,0,1,2,0,2,1,0.2,1,3,1,0,0,1,0.2,0,2,2,0,1
reasoning/predictive,30,10,5,0.5,0,5,2,1,2,3,0.3,0,6,3,1,0,5,0.5,2,4,2,2,0
reasoning/spatial/layout,3,1,1,1.0,0,0,0,0,1,0,0.0,0,0,1,0,0,0,0.0,0,1,0,0,0
reasoning/spatial/proximity,69,23,3,0.13043478260869565,1,5,11,0,6,3,0.13043478260869565,2,10,6,1,4,1,0.043478260869565216,5,9,3,6,0
reasoning/spatial/relationship,138,46,7,0.15217391304347827,0,12,27,1,6,10,0.21739130434782608,20,12,7,2,5,10,0.21739130434782608,17,17,9,3,0
reasoning/temporal/duration,93,31,14,0.45161290322580644,5,6,8,8,4,11,0.3548387096774194,3,13,8,1,6,15,0.4838709677419355,9,14,5,3,0
reasoning/temporal/frequency,111,37,10,0.2702702702702703,6,16,4,1,10,14,0.3783783783783784,7,17,5,2,6,14,0.3783783783783784,13,17,3,4,0
reasoning/temporal/prerequisites,45,15,6,0.4,4,3,1,2,5,9,0.6,4,6,0,0,5,7,0.4666666666666667,4,10,0,1,0
summarization/compare_and_contrast,9,3,1,0.3333333333333333,1,2,0,0,0,1,0.3333333333333333,0,3,0,0,0,2,0.6666666666666666,0,2,0,1,0
summarization/key_events_objects,42,14,9,0.6428571428571429,3,6,0,1,4,8,0.5714285714285714,6,7,0,0,1,8,0.5714285714285714,8,6,0,0,0
summarization/temporal_sequencing,12,4,2,0.5,3,1,0,0,0,3,0.75,2,2,0,0,0,2,0.5,3,1,0,0,0
