video_id,source_collection,duration_lower_bound_sec,duration_bin,verified_source_duration_sec,question_count_1s,question_count_10s,question_count_60s,total_question_count,downloaded,selected_ablation20
copa/2022-0005419/795285434,copa,369.0,301_600,,3,2,3,8,False,True
copa/2021-0003709/635489213,copa,960.0,601_1200,,51,42,16,109,False,False
copa/2021-1076/540772815,copa,1237.0,gt_1200,,12,24,9,45,False,True
pasadena/d1jiZ,pasadena,840.0,601_1200,863.067,33,17,9,59,True,False
copa/2023-0005234/891233509,copa,614.0,601_1200,,15,12,7,34,False,True
copa/2023-0001622/822714261,copa,488.0,301_600,,3,2,1,6,False,True
copa/2022-0002295/724873276,copa,300.0,le_300,,3,4,5,12,False,True
copa/2022-0001369/704211509,copa,7115.0,gt_1200,,8,9,5,22,False,True
copa/2019-0233/332704358,copa,363.0,301_600,,6,17,7,30,False,False
copa/2020-4103/459517381,copa,250.0,le_300,,3,4,4,11,False,False
copa/2020-0003466/708660361,copa,240.0,le_300,,6,5,3,14,False,False
copa/1085782/231937700,copa,64.0,le_300,,5,7,3,15,False,False
copa/2020-0062/395597579,copa,660.0,601_1200,,50,36,16,102,False,False
copa/2019-4934/388596442,copa,600.0,301_600,,5,6,9,20,False,False
copa/2024-0003052/930385794,copa,310.0,301_600,,1,1,1,3,False,False
copa/2021-1161/542262640,copa,657.0,601_1200,,8,8,8,24,False,False
copa/1090234/285139179,copa,120.0,le_300,,2,1,3,6,False,True
copa/2022-0003054/742435578,copa,170.0,le_300,,2,2,2,6,False,True
copa/1082330/241709172,copa,690.0,601_1200,,30,26,8,64,False,False
pasadena/pAjat,pasadena,840.0,601_1200,,16,18,5,39,False,True
copa/2021-0002862/610050769,copa,360.0,301_600,,11,9,6,26,False,False
copa/2021-2665/581221131,copa,642.0,601_1200,,49,36,11,96,False,True
copa/2021-1845/560049586,copa,660.0,601_1200,,11,13,5,29,False,False
copa/1089608/281707549,copa,240.0,le_300,,2,2,2,6,False,False
copa/1081378/181838021,copa,470.0,301_600,,3,12,3,18,False,False
copa/2024-0005768/999215076,copa,720.0,601_1200,,8,7,6,21,False,False
copa/2023-0000632/817305442,copa,480.0,301_600,,15,17,9,41,False,True
copa/2022-0004223/765753751,copa,414.0,301_600,,3,5,1,9,False,False
copa/2019-1780/352361058,copa,2508.0,gt_1200,,4,8,2,14,False,False
copa/1081642/189013442,copa,1470.0,gt_1200,,5,8,1,14,False,False
copa/2019-1617/347297049,copa,1020.0,601_1200,,14,7,4,25,False,True
copa/2020-3121/454773869,copa,990.0,601_1200,,9,10,2,21,False,True
copa/1089886/383355692,copa,3000.0,gt_1200,,3,8,1,12,False,False
copa/1086683/241541469,copa,840.0,601_1200,,1,1,1,3,False,True
copa/2024-0005309/970730909,copa,630.0,601_1200,,7,17,7,31,False,False
copa/1082195/190938644,copa,1800.0,gt_1200,,5,5,1,11,False,False
copa/2020-4833/492626546,copa,420.0,301_600,,2,2,3,7,False,True
copa/1087646/252605223,copa,390.0,301_600,,6,4,1,11,False,False
copa/2023-0000553/802027860,copa,360.0,301_600,,5,7,2,14,False,False
copa/2021-1112/536331629,copa,360.0,301_600,,14,21,11,46,False,False
copa/2023-0001277/828449721,copa,130.0,le_300,,7,7,3,17,False,True
copa/1082513/194071445,copa,540.0,301_600,,10,7,5,22,False,True
pasadena/qif3a,pasadena,420.0,301_600,,1,2,2,5,False,False
copa/2019-1855/350368010,copa,240.0,le_300,,4,3,3,10,False,False
pasadena/YKI08,pasadena,1482.0,gt_1200,1611.584,20,13,4,37,True,True
copa/2019-4852/387567742,copa,660.0,601_1200,,1,2,1,4,False,False
copa/1082645/193957196,copa,1767.0,gt_1200,,6,10,4,20,False,True
copa/2020-0022/394334403,copa,1440.0,gt_1200,,6,4,2,12,False,False
copa/2020-4177/461538142,copa,1320.0,gt_1200,,22,27,14,63,False,True
