record_id,question_id,arm,original_workflow,original_abd_label,correction_label,independent_sol_label,original_abd_is_supported,correction_is_supported,independent_sol_is_supported,independent_sol_review_flag
E0061,db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,D,1,supported,contradicted,partially_supported,True,False,False,True
E0269,7e512589-aa97-41e8-83d3-af2e83e4fd06_3_26,D,1,supported,partially_supported,partially_supported,True,False,False,True
E0021,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_18,D,1,supported,contradicted,partially_supported,True,False,False,True
E0113,6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,D,1,supported,unsupported,unsupported,True,False,False,True
E0330,a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_7,D,2,partially_supported,contradicted,supported,False,False,True,False
E0756,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,D,3,partially_supported,supported,unsupported,False,True,False,True
E0705,6fd90f8d-7a4d-425d-a812-3268db0b0342_4_1,D,3,unsupported,supported,supported,False,True,True,False
E0666,db3f7933-dfa0-4678-9d4f-393b628ded45_17_1,D,3,partially_supported,supported,supported,False,True,True,False
E0657,41a86310-2cc1-48f9-b5b5-6b495a95fbac_8_11,D,3,supported,partially_supported,unsupported,True,False,False,True
E0122,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_8,B,1,supported,unsupported,partially_supported,True,False,False,True
E0311,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_19,D,2,partially_supported,supported,contradicted,False,True,False,False
E0072,71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,A,1,partially_supported,unsupported,supported,False,False,True,False
E0448,d3a0899e-2093-454c-9f65-30087883193a_8_21,A,2,supported,partially_supported,supported,True,False,True,False
E0112,a6d45e95-8dc0-4932-83bf-ec53e265a16a_5_26,D,1,supported,contradicted,partially_supported,True,False,False,True
