original_audit_id,independent_review_id,original_abd_label,correction_label,independent_sol_label,independent_alignment,original_abd_reason,correction_reason,independent_reason,independent_evidence_references,independent_missing_key_conditions,independent_review_flag,independent_review_flag_reason,comparison_explanation_zh
E0400,S71A5A798CFAA,partially_supported,unsupported,partially_supported,original_abd,"Opened sampled frames and map regions provide related context, but decisive claim is not fully established.","The frames and map show several vegetables being prepared and cooked, but they do not establish an exact total of four vegetable types added to the stew.","The supplied map and images show multiple distinct vegetables involved in preparation/cooking, but they do not cleanly establish an exhaustive count of exactly four vegetable types added to the stew.","[""map:C01-C05(0-810s)"", ""image:frame_002@225.000s"", ""image:frame_003@405.000s"", ""image:frame_004@1170.000s"", ""image:frame_005@1305.000s"", ""image:frame_007@1620.000s""]","Complete, unambiguous enumeration of every vegetable actually added to the stew; Evidence excluding a fifth or additional vegetable type",True,Count claim is only partly recoverable from sparse frames and coarse semantic intervals.,本轮与原ABD一致：多种蔬菜是关键方向线索，但无法证明恰好四种，因此保留部分支持。
E0114,SD71024338BBB,partially_supported,unsupported,unsupported,correction,"Inspected frames show white-radish preparation and later pan cooking/stirring contexts, but the supplied sample does not provide continuous timing sufficient to prove the duration comparison.","The sparse frames show both vegetable preparation and later cooking/stirring, but they do not provide continuous event boundaries sufficient to compare total time spent on the two activities.","The frames show radish washing/preparation and later pan cooking, but sparse snapshots cannot establish that cooking and stirring lasted longer.","[""image:frame_002@22.000s"", ""image:frame_003@37.000s"", ""image:frame_004@52.000s"", ""image:frame_005@142.000s"", ""image:frame_006@172.000s"", ""image:frame_007@1642.000s"", ""image:frame_008@1657.000s""]",Continuous or bounded duration for radish washing/preparation; Continuous or bounded duration for pan cooking/stirring,True,Duration comparison cannot be inferred from sample-frame count or widely separated timestamps.,本轮与correction一致：稀疏帧缺少两类活动的完整时间边界，不能支持时长比较。
E0061,SBEF1E46DB527,supported,contradicted,partially_supported,neither_three_way_all_different,Inspected kitchen/house frames show rinsing followed by leaving-preparation activity rather than dish storage.,"After the rinsing/washing sequence, the map and frames show the wearer walking around the room and looking at the television before beginning to prepare to leave, so 'preparing to leave the house' is not the immediate next event.","After washing the cup/dishes, the wearer leaves the sink area and later handles a bag, which is compatible with preparing to leave; however the immediate intervening activity is walking around/looking at the television, so the selected event is not fully established as the immediate next one.","[""map:C18-C20(1395-1595s)"", ""image:frame_003@1432.000s"", ""image:frame_004@1440.000s"", ""image:frame_007@1477.000s"", ""image:frame_008@1485.000s"", ""image:frame_009@1492.000s""]",Direct evidence that preparing to leave is the first event after rinsing ends,True,The map places an intervening room/television activity between washing and bag handling.,三轮不同：本轮既承认后续拿包与离开准备相容，也确认中间先发生走动/看电视，故取部分支持。
E0008,S67993FF47BA4,partially_supported,unsupported,unsupported,correction,"The inspected food-preparation map shows oven tray handling followed by pizza/bread cutting and brushing, broadly matching option B, but the exact utensil and substance are uncertain.","The map shows pizza/tray handling but no bread paddle, brush, or curry-like application after the referenced oven event, so the selected multi-part activity is not supported.","The map shows oven and later pizza/tray handling, but does not establish the selected combination of using a bread paddle, brushing pizzas, and applying a curry-like substance.","[""map:C17-C20(3060-4095s)""]",Visible or mapped bread-paddle use; Visible or mapped brushing action; Visible or mapped application of the claimed substance; Immediate temporal linkage to the slim-pastry oven event,True,"No images were supplied, and the map lacks the distinctive actions required by the selected option.",本轮与correction一致：托盘和披萨背景存在，但面包铲、刷涂和所涂物均未建立。
E0269,SB9E2AE336E2A,supported,partially_supported,partially_supported,correction,"The map shows mallet/hammer tapping as a recurring brick-laying action and, after the 2200-2400s brick sequence, another hammer-tapping event follows at 2475-2520s. This grounds the prediction that continued brickwork would next involve hitting bricks with a mallet.","Repeated mallet/hammer brick-adjustment actions make the selected continuation plausible within the work pattern, but the late sampled frames do not establish it as the actual next event after the queried anchor.","The supplied evidence shows continued brick alignment and mallet use during the late brickwork sequence, making further mallet striking plausible, but it does not distinctly establish that this is the immediate next activity after the referenced series.","[""map:C13-C14(2070-2430s)"", ""image:frame_001@2200.000s"", ""image:frame_002@2250.000s"", ""image:frame_003@2320.000s"", ""image:frame_005@2400.000s""]",A clear boundary marking the end of the referenced series; Direct observation of the first subsequent action,True,The question is prospective and the evidence blends the claimed next action into the ongoing sequence.,本轮与correction一致：反复敲砖只能支持可能延续，不能证明锚点后的紧接事件。
E0351,S9408E456F79E,partially_supported,contradicted,contradicted,correction,"Opened sampled frames and map regions provide related context, but the decisive claim is not fully established.","After the late tomato-cutting/salt/blender steps, the map proceeds to walking and then prolonged phone use; the selected six-step sequence largely describes unrelated cooking/cleaning events that occur earlier or are not established after the tomato event.","After the late tomato washing/slicing sequence, the supplied map shows tomato cutting/salting, blender handling, walking, and extended phone use, not the six-event order asserted by option A.","[""map:C20-C24(2025-5646s)"", ""image:frame_014@2250.000s"", ""image:frame_015@2430.000s"", ""image:frame_016@2475.000s""]",None; supplied evidence directly refutes the selected option.,False,The post-tomato sequence in the map explicitly differs from the selected ordering.,本轮与correction一致：晚段明确转向走动和手机使用，反驳所选六步后续序列。
E0825,S9AF8136C7F5E,partially_supported,unsupported,unsupported,correction,"The frames clearly show distinct industrial/electrical work areas, including an outdoor equipment area, control panel area and wooden storage-like area. They support multiple locations but do not provide reliable labels proving the exact exhaustive set Garage, Construction Site, and Warehouse.","The industrial/construction frames show electrical/control-panel and construction work but do not distinctly establish three unique locations labeled Garage, Construction Site, and Warehouse.","All supplied frames show work around industrial electrical equipment and its immediate work area; they do not distinguish three unique locations identifiable as garage, construction site, and warehouse.","[""image:frame_001@7.000s"", ""image:frame_002@37.000s"", ""image:frame_003@300.000s"", ""image:frame_004@1000.000s"", ""image:frame_005@1150.000s"", ""image:frame_006@1400.000s""]",Evidence distinguishing a garage; Evidence distinguishing a separate construction site; Evidence distinguishing a separate warehouse; Whole-video coverage sufficient for a unique-location list,True,Location labels and boundaries cannot be established from the sparse frames.,本轮与correction一致：画面不能把工作区域区分为选项声称的三个独立地点。
E0557,SE876FE91FB84,contradicted,partially_supported,contradicted,original_abd,"Knife use occurs in several preparation blocks, but the map records repeated spoon/cooking-stick stirring throughout C05-C09, spanning more repeated cooking actions. This conflicts with the prediction that the knife was used more frequently during cooking.","Knife use and wooden-spoon use both recur throughout the map, with knife-related preparation appearing somewhat more often, but the coarse summaries do not support a reliable event-frequency comparison for the exact 'cooking stick' category.","The map records repeated stirring with a wooden spoon/cooking stick across substantially more cooking intervals than knife-use intervals, opposing the claim that the knife was used more frequently.","[""map:C01-C09(0-1675s)""]",None; supplied evidence directly refutes the selected option.,True,"The map is coarse and repeated captions are not exact action counts, but its interval coverage clearly favors the cooking stick rather than the knife.",本轮与原ABD一致：地图中勺/搅拌区间多于刀具区间，方向与所选频次比较相反。
E0856,SC92BAADE1F98,partially_supported,unsupported,unsupported,correction,"The submitted frames visibly support several construction items in the selected list, including gloves, bricks, mallet/hammer, bucket, string line, tape measure and powered cutting equipment. Nine snapshots cannot validate the exhaustive 25-item inventory or distinguish mattock from the neighboring long-handled tools.","The construction frames show only a subset of the very large selected tool inventory, such as gloves, bricks, string/line and striking/digging tools; they cannot establish the exhaustive list of all claimed unique tools.","The frames verify only a small subset of construction tools (for example mallet, line, and grinder); they cannot establish the exhaustive 26-entry list in option B.","[""image:frame_001@7.000s"", ""image:frame_002@157.000s"", ""image:frame_003@472.000s"", ""image:frame_004@517.000s"", ""image:frame_005@922.000s"", ""image:frame_006@1312.000s"", ""image:frame_007@3127.000s"", ""image:frame_008@3157.000s"", ""image:frame_009@3487.000s""]",Whole-video coverage; Direct evidence for every listed tool; Evidence that no unique tool is omitted,True,An exhaustive inventory cannot be inferred from nine sampled frames.,本轮与correction一致：只识别出超长工具清单的一小部分，不能支持穷举选项。
E0289,SC26591B3A1BE,unsupported,partially_supported,unsupported,original_abd,"The sparse frames confirm woodworking operations and a late cleanup-like interval, but snapshots at widely separated times do not establish the durations of final cutting/sorting versus workshop cleanup. The predicted duration comparison cannot be supported from these frames alone.","The woodworking frames span a long period of cutting/sorting planks and a shorter sampled cleanup/vacuum interval, which is consistent with the selected duration direction, but sparse frames do not establish complete event durations.",The frames show woodworking and cleanup-related moments but provide no continuous boundaries for comparing the duration of final cutting/sorting against workshop cleanup.,"[""image:frame_001@0.000s"", ""image:frame_002@495.000s"", ""image:frame_003@675.000s"", ""image:frame_004@1215.000s"", ""image:frame_005@1485.000s"", ""image:frame_006@2790.000s"", ""image:frame_007@3285.000s"", ""image:frame_008@4044.000s""]",Start and end of final plank cutting/sorting; Start and end of workshop cleanup,True,Duration cannot be inferred from isolated snapshots.,本轮与原ABD一致：木工和清理均可见，但没有连续边界可作时长比较。
E0460,SF08C86EB0AC9,unsupported,contradicted,contradicted,correction,"The sampled frames show sausage and eggs already cooking, later a cabinet interaction, and then movement near the sink. They do not show the egg tray being put back, cooking oil being used, or sausage being cut on a board in the selected B order.","Immediately after the egg-related frames, the visible sequence shows pan/egg handling and plate/cabinet activity, not the selected order of returning the egg tray, using cooking oil, and then cutting sausage.","The supplied post-retrieval sequence already shows sausages cooking and then eggs being added/cooked before later kitchenware handling; it does not follow the selected order of returning the tray, using oil, then beginning to cut sausage.","[""image:frame_001@360.000s"", ""image:frame_002@405.000s"", ""image:frame_003@450.000s"", ""image:frame_004@495.000s"", ""image:frame_005@540.000s""]",None; supplied evidence directly refutes the selected option.,False,Visible temporal order conflicts with the selected sequence.,本轮与correction一致：可见的蛋和香肠处理顺序直接不符合所选三步顺序。
E0021,S2D563A813DD3,supported,contradicted,partially_supported,neither_three_way_all_different,Map intervals and inspected food-preparation frames show cucumber/radish washing and preparation lasting substantially longer than the brief pot-stirring interval.,"The selected statement refers to white radish although the evidence identifies cucumber, and cooking/stirring occurs repeatedly across the map beyond the vegetable-preparation interval, so the claimed duration ordering is not supported.","The map gives extended early vegetable washing/cutting coverage and later cooking/stirring intervals, broadly favoring the selected comparison, but coarse 45-second regions and interleaved actions do not yield exact task durations.","[""map:C01-C03(0-315s)"", ""map:C14-C16(1305-1665s)"", ""image:frame_002@45.000s"", ""image:frame_003@90.000s"", ""image:frame_004@315.000s""]",Precise start/end boundaries for both compared activities; Confirmation that the mapped vegetable is the white radish named in the option,True,Coarse map timing and vegetable-identification ambiguity prevent a high-confidence duration comparison.,三轮不同：本轮认为早期蔬菜准备提供方向线索，但食材身份与完整时长均不确定，故取部分支持。
E0113,S6F15F6A54C43,supported,unsupported,unsupported,correction,"All nine inspected frames include kitchen-to-hall/living-room views, with the doorway/passage connecting the spaces, supporting the selected navigation route.","The frames show a physical route between kitchen and living room, but the selected option is only an opaque navigation-image path and the corresponding option image is not included, so the evidence cannot establish that option C depicts that route.","The evidence shows the kitchen-to-living-room transition, but the selected option is only an opaque image-path string and the option image is not supplied, so the path cannot be matched to the demonstrated route.","[""map:C06-C07(630-810s)"", ""map:C15(2250-2385s)"", ""image:frame_001@630.000s"", ""image:frame_003@675.000s"", ""image:frame_004@720.000s"", ""image:frame_005@787.000s""]",Visible content of the selected route option,True,Image-path option identity is unverifiable from the remaining evidence.,本轮与correction一致：通路本身可见，但缺失的导航选项图使证据无法对应到所选图。
E0532,S7FBC8E9CAE14,unsupported,contradicted,contradicted,correction,"The map's coarse intervals heavily intermix digging, alignment, brick movement, and cement work, so their durations cannot be separated by simply summing entire regions. It also never identifies a combined hoe-and-fork. Consequently the claimed comparison that digging/alignment took longer than the broader brick-and-cement construction work is not supported by the available timing evidence.","The map contains extensive repeated brick/cement handling across many regions, while digging/alignment events are more limited; the selected claim that digging/alignment lasted longer is not supported and trends opposite to the visible coverage.","The map shows brick/cement movement and placement recurring across many long regions, while concentrated digging is limited to fewer intervals; this opposes the claim that digging/alignment took longer than the broader construction work.","[""map:C01-C20(0-3507s)""]",None; supplied evidence directly refutes the selected option.,True,"Activities overlap within coarse regions, but the map's overall temporal coverage clearly runs counter to option D.",本轮与correction一致：砖/水泥作业覆盖明显更广，趋势反驳挖掘/对齐更久的说法。
E0489,SD74FBFCDBBE4,partially_supported,unsupported,unsupported,correction,"The frames directly show an open laptop, motherboard/system board, CPU area, cooling fans/thermal assembly, hard drive, circuit boards/connectors, and later keyboard and mouse interaction. They do not visibly establish every item in option A's long exhaustive list—particularly interaction with a camera, flash drive, memory card, and several specifically named subassemblies—so the complete list is only partially supported.","The laptop frames show several internal components and peripherals, but they do not establish every item in the selected exhaustive technology-object list, including several specifically named boards/connectors/devices.","The visible frames verify interaction with laptops, boards, storage/cooling parts, keyboard and mouse, but do not establish every object in the selected exhaustive list, including distinct identities for several closely related components.","[""image:frame_005@682.000s"", ""image:frame_006@697.000s"", ""image:frame_007@862.000s"", ""image:frame_008@1102.000s"", ""image:frame_009@1147.000s"", ""image:frame_010@2392.000s"", ""image:frame_011@2707.000s"", ""image:frame_012@2752.000s""]",Whole-video coverage; Direct identification of every listed technology object; Evidence excluding omitted unique objects,True,An exhaustive fine-grained object inventory is not recoverable from the supplied samples.,本轮与correction一致：只看见长技术物件清单的部分成员，穷举选项没有成立。
E0330,SF8016D001022,partially_supported,contradicted,supported,neither_three_way_all_different,"Opened sampled frames and the associated map provide related context, but the decisive claim is not fully established across the video.","The late frames place the cooking pot on the cooker/stove beside the sink area, and the map explicitly says the pot is moved from the sink to the cooker rather than being placed on the countertop as selected.","The pot is visibly on a countertop appliance immediately beside the sink/tap area, and the map confirms it is moved from the sink to the cooker.","[""map:C12(1530-1800s)"", ""image:frame_003@1732.000s"", ""image:frame_004@1747.000s""]",None; supplied evidence establishes the selected option.,False,The spatial relation is directly visible and consistent with the map.,三轮不同：本轮把水槽旁台式灶具同时视为台面位置，认为所选位置得到直接支持。
E0756,SE654B2CFE8B7,partially_supported,supported,unsupported,neither_three_way_all_different,"The coconut-processing frames and map positively show repeated knife cuts on coconut between roughly 585 and 675 seconds. They do not provide an exhaustive count of coconut-grater use, so repeated knife use alone cannot establish that the knife was used more frequently than the grater.","The coconut-related map and frames repeatedly show a knife being used to cut the coconut, while no coconut-grater use is established in the relevant evidence, supporting the selected frequency direction.","The evidence shows coconut grating and later knife work, but neither the sparse images nor coarse map establishes comparative use frequency.","[""map:C07-C09(495-810s)"", ""image:frame_001@517.000s"", ""image:frame_004@547.000s"", ""image:frame_006@580.000s"", ""image:frame_007@630.000s"", ""image:frame_009@670.000s""]",Complete count of distinct grater uses; Complete count of distinct knife uses,True,Frame count and repetitive map wording are not action-frequency counts.,三轮不同：本轮实际识别到磨椰动作，也看到刀具动作，但缺少完整次数，故判无支持。
E0705,S5C60CD4540A6,unsupported,supported,supported,correction,"The map explicitly documents knife/spoon use and later sink-cleaning activity, but does not state that either item was or was not cleaned; the selected “neither” conclusion is not supported.","During the documented sink-cleaning sequence the map explicitly lists washing plates/pans but only putting the knife in the sink and picking it up; neither knife nor wooden spoon is shown being washed, and the sampled sink frames are consistent with that account.","The supplied map and cleaning-sequence images show plates, pans and a sponge being washed; the knife is placed in and retrieved from the sink, but neither the knife nor wooden spoon is shown or described as cleaned there.","[""map:C03-C05(225-630s)"", ""map:C12-C14(1665-2250s)"", ""image:frame_005@1800.000s"", ""image:frame_006@1890.000s"", ""image:frame_007@1943.000s"", ""image:frame_008@1980.000s"", ""image:frame_009@2017.000s""]",None; supplied evidence establishes the selected option.,False,The full map specifically covers the sink-cleaning sequence without either claimed utensil-cleaning event.,本轮与correction一致：清洗段明确列出盘锅清洗而只记录刀的放取，审阅者据此接受“两者均未清洗”。
E0666,S6C710544BC23,partially_supported,supported,supported,correction,"Sampled frames and map regions provide related activity context, but do not fully establish every detail of the selected option.","The provided frames visibly show transparent hand coverings/gloves on the camera wearer immediately before and while outside, directly supporting the selected color.","Immediately before/while outside, the wearer visibly puts on thin transparent disposable gloves.","[""map:C19-C20(1395-1595s)"", ""image:frame_008@1575.000s"", ""image:frame_009@1582.000s"", ""image:frame_010@1592.000s"", ""image:frame_011@1594.000s""]",None; supplied evidence establishes the selected option.,False,Glove color/material is directly visible in several adjacent frames.,本轮与correction一致：1575–1594秒帧清楚显示透明手部覆盖物。
E0023,S14AEA4F0D8C8,unsupported,contradicted,contradicted,correction,"Inspected cooking frames show vegetables/ingredients being added, but do not identify tomato sauce; the selected ingredient is not verifiable.","After the mushroom-preparation sequence, the map explicitly shows water being poured into the pot and stirred; neither the frames nor map establish tomato sauce as the added ingredient.","The pot around the mushroom-stem sequence visibly contains a pale creamy liquid rather than tomato sauce, and the map does not describe tomato-sauce addition at that point.","[""map:C05-C06(585-1035s)"", ""image:frame_001@585.000s"", ""image:frame_002@630.000s"", ""image:frame_003@675.000s""]",None; supplied evidence directly refutes the selected option.,False,Visible contents oppose the selected tomato-sauce claim.,本轮与correction一致：相关锅内液体呈浅色奶油状而非番茄酱，构成具体反证。
E0657,S46B98F646748,supported,partially_supported,unsupported,neither_three_way_all_different,"Frames show hands opening and handling laptop internal components, supporting the selected technology interaction statement.","The map and frames show prolonged handling of laptop internals and components, with only limited cable/connector handling; they do not cleanly establish the selected comparison between the named component-handling category and wire-connection category.","The supplied evidence spans extensive laptop disassembly and shows both loose component handling and board/cable work, but it does not delineate and total the time spent on the two compared activity classes.","[""map:C02-C04(495-2783s)"", ""image:frame_003@810.000s"", ""image:frame_004@855.000s"", ""image:frame_006@990.000s"", ""image:frame_007@1000.000s"", ""image:frame_008@1620.000s"", ""image:frame_009@2205.000s""]",Complete temporal segmentation of component handling; Complete temporal segmentation of wire connection and securing,True,A comparative duration claim cannot be established from isolated frames or broad disassembly-map intervals.,三轮不同：本轮认为两类电脑操作都有出现，但无法分段汇总时长，因此判无支持。
E0122,S8427C422C116,supported,unsupported,partially_supported,neither_three_way_all_different,Inspected cooking frames show a spoon/utensil used to tap or scrape excess food while cooking.,"The cooking frames show several utensils in use, but the tool used for the specific tap-off-excess-food action is not clearly identifiable as tongs.","A slim metal gripping utensil consistent with tongs is used over the pot amid transfer and stirring actions, but the sampled stills do not directly resolve the specific tap-off action.","[""image:frame_002@607.000s"", ""image:frame_003@630.000s"", ""image:frame_004@697.000s"", ""image:frame_006@765.000s"", ""image:frame_007@787.000s""]",Continuous view of the tap-off motion; Unambiguous close view of the utensil during that motion,True,"The proposed utensil is plausible visually, while the defining action falls between still frames.",三轮不同：本轮认为器具外观与夹子相符，但静帧不能确认特定敲落动作，因此取部分支持。
E0311,S4D60FA9142C1,partially_supported,supported,contradicted,neither_three_way_all_different,"The opened frames and corresponding map regions provide relevant cooking context, but the selected frequency/positional comparison is not fully established by the sampled evidence.","Across the map, knife use occurs repeatedly for peeling/cutting cucumber, coconut, and tomatoes in more distinct preparation intervals than spoon use for stirring; the sampled frames are consistent with this pattern.","The complete map describes spoon use in more distinct preparation/stirring episodes than knife use, and the frames likewise show recurring spoon use across later stages; this opposes the selected claim that the knife was used more frequently.","[""map:knife/spoon action descriptions across complete map"", ""image:frame_003@142.000s"", ""image:frame_004@157.000s"", ""image:frame_011@1147.000s"", ""image:frame_012@1642.000s"", ""image:frame_013@1957.000s"", ""image:frame_014@2002.000s""]",None; supplied evidence directly refutes the selected option.,False,The full-map event descriptions favor spoon frequency rather than knife frequency.,三轮不同：本轮按完整地图统计为勺类操作区间更多，认为明确反驳刀用得更多。
