question_id,video_id,question_type,gold,A_task_id,A_prediction,A_correct,A_state,A_result_class,A_failure_category,A_input_tokens,A_output_tokens,A_cache_creation_tokens,A_cache_read_tokens,A_cost_usd,A_api_latency_sec,A_route_wall_sec,A_image_count,A_map_present,B_task_id,B_prediction,B_correct,B_state,B_result_class,B_failure_category,B_input_tokens,B_output_tokens,B_cache_creation_tokens,B_cache_read_tokens,B_cost_usd,B_api_latency_sec,B_route_wall_sec,B_image_count,B_map_present,D_task_id,D_prediction,D_correct,D_state,D_result_class,D_failure_category,D_input_tokens,D_output_tokens,D_cache_creation_tokens,D_cache_read_tokens,D_cost_usd,D_api_latency_sec,D_route_wall_sec,D_image_count,D_map_present
6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,6fd90f8d-7a4d-425d-a812-3268db0b0342,reasoning/temporal/duration,E,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,C,False,terminal_success,valid_answer,,36263,106,0,0,0.036793,2.145529503002763,2.159845,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,C,False,terminal_success,valid_answer,,5841,102,0,0,0.006351,1.9247635410865769,1.941852,9,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_31,C,False,terminal_success,valid_answer,,41083,98,0,0,0.041573,2.0311274649575353,2.044654,9,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_3_32,6fd90f8d-7a4d-425d-a812-3268db0b0342,reasoning/predictive,E,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_3_32,E,True,terminal_success,valid_answer,,36328,167,0,0,0.037163,2.6758024870650843,2.689362,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_3_32,E,True,terminal_success,valid_answer,,8590,93,0,0,0.009055,2.117867831955664,2.132115,14,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_3_32,E,True,terminal_success,valid_answer,,43832,171,0,0,0.044687000000000004,3.24344499502331,3.255397,14,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,6fd90f8d-7a4d-425d-a812-3268db0b0342,reasoning/temporal/duration,A,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,D,False,terminal_success,valid_answer,,36226,124,0,0,0.036846000000000004,2.1805526620009914,2.192115,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,D,False,terminal_success,valid_answer,,5268,114,0,0,0.005838,1.8611352710286155,1.873516,8,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,D,False,terminal_success,valid_answer,,40510,113,0,0,0.041075,2.518175104050897,2.531653,8,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,6fd90f8d-7a4d-425d-a812-3268db0b0342,navigation/room_to_room_image,D,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,A,False,terminal_success,valid_answer,,36351,98,0,0,0.036841,1.7548634599661455,1.766151,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,C,False,terminal_success,valid_answer,,5927,88,0,0,0.006367,1.672539404942654,1.684401,9,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_15_2,C,False,terminal_success,valid_answer,,41169,107,0,0,0.041704,2.4528695810586214,2.46507,9,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,6fd90f8d-7a4d-425d-a812-3268db0b0342,perception/information_retrieval/factual_recall,D,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,E,False,terminal_success,valid_answer,,36192,102,0,0,0.036702,1.7185636590002105,1.731752,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,B,False,terminal_success,valid_answer,,9525,93,0,0,0.00999,1.9920837479876354,2.005428,16,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,B,False,terminal_success,valid_answer,,44767,96,0,0,0.045247,2.281143298954703,2.29434,16,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_16_3,6fd90f8d-7a4d-425d-a812-3268db0b0342,navigation/object_retrieval_image,C,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_16_3,A,False,terminal_success,valid_answer,,36356,91,0,0,0.036810999999999997,1.3198418520623818,1.331861,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_16_3,D,False,terminal_success,valid_answer,,9688,115,0,0,0.010263000000000001,1.8380201139952987,1.850486,16,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_16_3,A,False,terminal_success,valid_answer,,44930,96,0,0,0.04541,2.391053404076956,2.404232,16,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,6fd90f8d-7a4d-425d-a812-3268db0b0342,perception/information_retrieval/factual_recall,C,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,C,True,terminal_success,valid_answer,,36208,114,0,0,0.036778,1.9211720060557127,1.934523,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,E,False,terminal_success,valid_answer,,5784,99,0,0,0.006279,1.837213989929296,1.851082,9,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,C,True,terminal_success,valid_answer,,41026,129,0,0,0.041671,2.30484982393682,2.31865,9,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,6fd90f8d-7a4d-425d-a812-3268db0b0342,perception/tracking,D,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,D,True,terminal_success,valid_answer,,36218,149,0,0,0.036963,2.2453072529751807,2.258978,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,D,True,terminal_success,valid_answer,,5796,104,0,0,0.0063159999999999996,1.97703219903633,1.990757,9,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_18_16,D,True,terminal_success,valid_answer,,41038,125,0,0,0.041663,2.3644288680516183,2.377941,9,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,6fd90f8d-7a4d-425d-a812-3268db0b0342,reasoning/spatial/relationship,A,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,D,False,terminal_success,valid_answer,,36254,131,0,0,0.036909000000000004,2.188305294024758,2.201562,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,D,False,terminal_success,valid_answer,,9041,86,0,0,0.009471,1.7700432679848745,1.783915,15,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_7_27,D,False,terminal_success,valid_answer,,44283,90,0,0,0.044733,2.0362115040188655,2.047842,15,True
6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,6fd90f8d-7a4d-425d-a812-3268db0b0342,navigation/room_to_room,A,A:6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,B,False,terminal_success,valid_answer,,36275,122,0,0,0.036885,1.9322400640230626,1.945675,0,True,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,C,False,terminal_success,valid_answer,,5851,93,0,0,0.006316,1.886095087043941,1.899782,9,False,D:6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,C,False,terminal_success,valid_answer,,41093,100,0,0,0.041593,2.446457474026829,2.461865,9,True
