audit_id,workflow,old_label,new_label,question_options_prediction_reason_same,map_source_bytes_same,image_count,image_sha_order_resolved_timestamps_same,correction_copied_image_bytes_valid,correction_timestamp_text_matches_resolved_time,old_batch_actual_evidence_view_attested,actual_reviewer_presentation_identical,diagnostic_cause
E0008,1,partially_supported,unsupported,True,True,0,True,True,True,True,undetermined,label_boundary_difference
E0021,1,supported,contradicted,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0023,1,unsupported,contradicted,True,True,8,True,True,True,True,undetermined,evidence_interpretation_difference
E0061,1,supported,contradicted,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0072,1,partially_supported,unsupported,True,True,0,True,True,True,True,undetermined,label_boundary_difference
E0077,1,partially_supported,unsupported,True,True,9,True,True,True,True,undetermined,label_boundary_difference
E0112,1,supported,contradicted,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0113,1,supported,unsupported,True,True,9,True,True,True,True,undetermined,operational_definition_difference_missing_option_image
E0114,1,partially_supported,unsupported,True,True,9,True,True,True,True,undetermined,label_boundary_difference
E0122,1,supported,unsupported,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0269,1,supported,partially_supported,True,True,7,True,True,True,True,undetermined,label_boundary_difference
E0289,1,unsupported,partially_supported,True,True,8,True,True,True,True,undetermined,label_boundary_difference
E0311,2,partially_supported,supported,True,True,16,True,True,True,True,undetermined,evidence_interpretation_difference
E0330,2,partially_supported,contradicted,True,True,4,True,True,True,True,undetermined,evidence_interpretation_difference
E0339,2,partially_supported,unsupported,True,True,16,True,True,True,True,undetermined,evidence_interpretation_difference
E0351,2,partially_supported,contradicted,True,True,16,True,True,True,True,undetermined,evidence_interpretation_difference
E0394,2,partially_supported,contradicted,True,True,13,True,True,True,True,undetermined,evidence_interpretation_difference
E0400,2,partially_supported,unsupported,True,True,7,True,True,True,True,undetermined,evidence_interpretation_difference
E0440,2,unsupported,partially_supported,True,True,0,True,True,True,True,undetermined,evidence_interpretation_difference
E0448,2,supported,partially_supported,True,True,0,True,True,True,True,undetermined,label_boundary_difference
E0460,2,unsupported,contradicted,True,True,7,True,True,True,True,undetermined,evidence_interpretation_difference
E0489,2,partially_supported,unsupported,True,True,12,True,True,True,True,undetermined,label_boundary_difference
E0532,2,unsupported,contradicted,True,True,0,True,True,True,True,undetermined,evidence_interpretation_difference
E0557,2,contradicted,partially_supported,True,True,0,True,True,True,True,undetermined,evidence_interpretation_difference
E0657,3,supported,partially_supported,True,True,9,True,True,True,True,undetermined,label_boundary_difference
E0666,3,partially_supported,supported,True,True,11,True,True,True,True,undetermined,evidence_interpretation_difference
E0705,3,unsupported,supported,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0756,3,partially_supported,supported,True,True,9,True,True,True,True,undetermined,evidence_interpretation_difference
E0825,3,partially_supported,unsupported,True,True,6,True,True,True,True,undetermined,label_boundary_difference
E0856,3,partially_supported,unsupported,True,True,9,True,True,True,True,undetermined,label_boundary_difference
E0892,3,unsupported,partially_supported,True,True,3,True,True,True,True,undetermined,label_boundary_difference
