question_type,questions,A_correct,A_accuracy,B_correct,B_accuracy,D_correct,D_accuracy,DB_both,D_only_vs_B,B_only_vs_D,DB_neither,D_minus_B,DA_both,D_only_vs_A,A_only_vs_D,DA_neither,D_minus_A
navigation/object_retrieval,3,0,0.0,0,0.0,0,0.0,0,0,0,3,0.0,0,0,0,3,0.0
navigation/object_retrieval_image,3,1,0.3333333333333333,0,0.0,2,0.6666666666666666,0,2,0,1,0.6666666666666666,1,1,0,1,0.3333333333333333
navigation/room_to_room,2,0,0.0,0,0.0,0,0.0,0,0,0,2,0.0,0,0,0,2,0.0
navigation/room_to_room_image,2,0,0.0,1,0.5,0,0.0,0,0,1,1,-0.5,0,0,0,2,0.0
perception/information_retrieval/factual_recall,63,27,0.42857142857142855,27,0.42857142857142855,27,0.42857142857142855,20,7,7,29,0.0,23,4,4,32,0.0
perception/information_retrieval/sequence_recall,22,6,0.2727272727272727,9,0.4090909090909091,5,0.22727272727272727,2,3,7,10,-0.18181818181818182,5,0,1,16,-0.045454545454545456
perception/information_retrieval/temporal_distance,8,2,0.25,1,0.125,1,0.125,1,0,0,7,0.0,1,0,1,6,-0.125
perception/tracking,4,2,0.5,1,0.25,2,0.5,1,1,0,2,0.25,2,0,0,2,0.0
reasoning/causal,4,1,0.25,1,0.25,1,0.25,0,1,1,2,0.0,1,0,0,3,0.0
reasoning/counterfactual,5,1,0.2,1,0.2,1,0.2,1,0,0,4,0.0,1,0,0,4,0.0
reasoning/predictive,10,5,0.5,3,0.3,5,0.5,2,3,1,4,0.2,4,1,1,4,0.0
reasoning/spatial/layout,1,1,1.0,0,0.0,0,0.0,0,0,0,1,0.0,0,0,1,0,-1.0
reasoning/spatial/proximity,23,3,0.13043478260869565,3,0.13043478260869565,1,0.043478260869565216,1,0,2,20,-0.08695652173913043,1,0,2,20,-0.08695652173913043
reasoning/spatial/relationship,46,7,0.15217391304347827,10,0.21739130434782608,10,0.21739130434782608,7,3,3,33,0.0,4,6,3,33,0.06521739130434782
reasoning/temporal/duration,31,14,0.45161290322580644,11,0.3548387096774194,15,0.4838709677419355,9,6,2,14,0.12903225806451613,11,4,3,13,0.03225806451612903
reasoning/temporal/frequency,37,10,0.2702702702702703,14,0.3783783783783784,14,0.3783783783783784,9,5,5,18,0.0,9,5,1,22,0.10810810810810811
reasoning/temporal/prerequisites,15,6,0.4,9,0.6,7,0.4666666666666667,6,1,3,5,-0.13333333333333333,6,1,0,8,0.06666666666666667
summarization/compare_and_contrast,3,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,1,1,0,1,0.3333333333333333,1,1,0,1,0.3333333333333333
summarization/key_events_objects,14,9,0.6428571428571429,8,0.5714285714285714,8,0.5714285714285714,7,1,1,5,0.0,7,1,2,4,-0.07142857142857142
summarization/temporal_sequencing,4,2,0.5,3,0.75,2,0.5,2,0,1,1,-0.25,2,0,0,2,0.0
