question_id,video_id,gold,staged_state,staged_prediction,staged_correct,staged_failure_category,direct_state,direct_prediction,direct_correct,direct_failure_category
6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,6fd90f8d-7a4d-425d-a812-3268db0b0342,A,terminal_success,C,False,,terminal_success,D,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,6fd90f8d-7a4d-425d-a812-3268db0b0342,D,terminal_success,B,False,,terminal_success,B,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,6fd90f8d-7a4d-425d-a812-3268db0b0342,C,terminal_success,C,True,,terminal_success,C,True,
6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,6fd90f8d-7a4d-425d-a812-3268db0b0342,A,terminal_success,C,False,,terminal_success,C,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_12_28,6fd90f8d-7a4d-425d-a812-3268db0b0342,A,terminal_success,C,False,,terminal_success,C,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_4_1,6fd90f8d-7a4d-425d-a812-3268db0b0342,C,terminal_success,E,False,,terminal_success,D,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_11_29,6fd90f8d-7a4d-425d-a812-3268db0b0342,A,terminal_success,E,False,,terminal_failed,,False,runtime_failure:turn_limit_exhausted
6fd90f8d-7a4d-425d-a812-3268db0b0342_14_3,6fd90f8d-7a4d-425d-a812-3268db0b0342,C,terminal_success,A,False,,terminal_success,A,False,
6fd90f8d-7a4d-425d-a812-3268db0b0342_16_4,6fd90f8d-7a4d-425d-a812-3268db0b0342,B,terminal_success,A,False,,terminal_success,B,True,
4572b198-2c1c-4920-bcf0-95fcebe12261_13_1,4572b198-2c1c-4920-bcf0-95fcebe12261,D,terminal_success,C,False,,terminal_success,C,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_4_3,4572b198-2c1c-4920-bcf0-95fcebe12261,C,terminal_failed,,False,legacy_route_failed,terminal_success,E,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_3_21,4572b198-2c1c-4920-bcf0-95fcebe12261,A,terminal_success,B,False,,terminal_success,B,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_2_1,4572b198-2c1c-4920-bcf0-95fcebe12261,E,terminal_success,D,False,,terminal_success,D,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_17_15,4572b198-2c1c-4920-bcf0-95fcebe12261,B,terminal_success,A,False,,terminal_success,E,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_4_40,4572b198-2c1c-4920-bcf0-95fcebe12261,A,terminal_success,C,False,,terminal_success,C,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_8_13,4572b198-2c1c-4920-bcf0-95fcebe12261,E,terminal_success,E,True,,terminal_success,E,True,
4572b198-2c1c-4920-bcf0-95fcebe12261_15_1,4572b198-2c1c-4920-bcf0-95fcebe12261,C,terminal_success,D,False,,terminal_success,D,False,
4572b198-2c1c-4920-bcf0-95fcebe12261_8_34,4572b198-2c1c-4920-bcf0-95fcebe12261,E,terminal_success,C,False,,terminal_success,E,True,
71fbc5bf-7e2a-415d-86bc-3a948742e904_17_25,71fbc5bf-7e2a-415d-86bc-3a948742e904,D,terminal_success,E,False,,terminal_success,D,True,
71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,71fbc5bf-7e2a-415d-86bc-3a948742e904,A,terminal_success,C,False,,terminal_success,C,False,
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_1,71fbc5bf-7e2a-415d-86bc-3a948742e904,E,terminal_success,E,True,,terminal_success,E,True,
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_24,71fbc5bf-7e2a-415d-86bc-3a948742e904,B,terminal_success,E,False,,terminal_success,B,True,
