question_id,duration_class,option_index,option_text,is_ground_truth_option,concrete_visual_semantics,hit_at_1,hit_at_5,hit_at_8,hit_at_10,hit_at_20,first_inside_rank,top1_distance_sec
1s_3455,1s,0,The officer wearing the camera is visibly touching a civilian.,False,True,0,0,0,0,0,111,410.0
1s_3455,1s,1,"A firearm, a taser, a gun or a rifle of the officer wearing the camera is visible in the video.",False,True,0,0,0,0,0,770,410.0
1s_3455,1s,2,An officer is visibly using or attempting to use handcuffs.,True,True,0,0,1,1,1,8,410.0
1s_3455,1s,3,An officer (not the one recording) is visibly touching a civilian.,False,True,0,0,0,0,0,387,410.0
1s_3455,1s,4,None of the above,False,False,0,0,0,0,0,317,410.0
1s_3447,1s,0,The officer wearing the camera is providing visible medical assistance.,False,True,0,0,0,0,0,596,421.0
1s_3447,1s,1,An officer is visibly using or attempting to use handcuffs.,True,True,0,0,0,0,0,79,421.0
1s_3447,1s,2,An officer (not the one recording) is visibly touching a civilian.,False,True,0,0,0,0,0,1190,421.0
1s_3447,1s,3,A civilian displays visible wounds or is bleeding.,False,True,0,0,0,0,0,845,421.0
1s_3447,1s,4,None of the above,False,False,0,0,0,0,0,1455,421.0
10s_4776,10s,0,"A firearm, a taser, a gun or a rifle of the officer wearing the camera is visible in the video.",False,True,0,0,0,0,0,108,1415.0
10s_4776,10s,1,The officer wearing the camera is running.,False,True,0,0,0,0,0,78,1415.0
10s_4776,10s,2,A civilian displays visible wounds or is bleeding.,False,True,0,0,0,0,0,185,1415.0
10s_4776,10s,3,The officer wearing the camera is providing visible medical assistance.,False,True,0,0,0,0,0,116,1415.0
10s_4776,10s,4,None of the above,True,False,0,0,0,0,0,647,1415.0
10s_3437,10s,0,"A firearm, a taser, a gun or a rifle of the officer wearing the camera is visible in the video.",False,True,0,0,0,0,0,122,425.0
10s_3437,10s,1,A civilian displays visible wounds or is bleeding.,False,True,0,0,0,0,1,17,425.0
10s_3437,10s,2,The officer wearing the camera is visibly touching a civilian.,False,True,0,0,0,0,0,49,425.0
10s_3437,10s,3,An officer is visibly using or attempting to use handcuffs.,True,True,0,1,1,1,1,3,425.0
10s_3437,10s,4,None of the above,False,False,0,0,0,0,0,37,425.0
60s_1377,60s,0,An officer is visibly using or attempting to use handcuffs.,True,True,0,1,1,1,1,3,375.0
60s_1377,60s,1,The officer wearing the camera is running.,False,True,0,0,0,0,1,15,375.0
60s_1377,60s,2,A civilian displays visible wounds or is bleeding.,False,True,0,1,1,1,1,2,375.0
60s_1377,60s,3,An officer (not the one recording) is visibly touching a civilian.,False,True,0,0,0,1,1,10,375.0
60s_1377,60s,4,None of the above,False,False,0,0,0,0,1,13,375.0
