video_id,selected_question_count,selected_1s,selected_10s,selected_60s,fallback_used,fallback_reason
copa/1090234/285139179,5,2,1,2,True,One or more target classes had fewer available questions; seeded remaining IDs filled slots where possible.
copa/2022-0002295/724873276,5,2,2,1,False,
copa/2022-0003054/742435578,5,2,2,1,False,
copa/2023-0001277/828449721,5,2,2,1,False,
copa/2022-0005419/795285434,5,2,2,1,False,
copa/2023-0000632/817305442,5,2,2,1,False,
copa/2020-4833/492626546,5,2,2,1,False,
copa/1082513/194071445,5,2,2,1,False,
copa/2023-0001622/822714261,5,2,2,1,False,
copa/2021-2665/581221131,5,2,2,1,False,
copa/1086683/241541469,3,1,1,1,True,One or more target classes had fewer available questions; seeded remaining IDs filled slots where possible.
copa/2023-0005234/891233509,5,2,2,1,False,
copa/2020-3121/454773869,5,2,2,1,False,
copa/2019-1617/347297049,5,2,2,1,False,
copa/2022-0001369/704211509,5,2,2,1,False,
copa/2021-1076/540772815,5,2,2,1,False,
copa/1082645/193957196,5,2,2,1,False,
copa/2020-4177/461538142,5,2,2,1,False,
pasadena/pAjat,5,2,2,1,False,
pasadena/YKI08,5,2,2,1,False,
