question_id,validation_attempt,validation_retry_index,provider_tool_envelope_accepted,scientific_validation_status,scientific_failure_reason,retry_triggered,route_state
6fd90f8d-7a4d-425d-a812-3268db0b0342_8_9,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_25,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_17_36,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_13_2,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_12_28,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_4_1,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_11_29,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_14_3,1,0,True,success,,False,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_16_4,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
6fd90f8d-7a4d-425d-a812-3268db0b0342_16_4,2,1,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_13_1,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_4_3,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_failed
4572b198-2c1c-4920-bcf0-95fcebe12261_4_3,2,1,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_failed
4572b198-2c1c-4920-bcf0-95fcebe12261_4_3,3,2,True,validation_failed,Direct Final answer_text does not match selected option,False,terminal_failed
4572b198-2c1c-4920-bcf0-95fcebe12261_3_21,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_2_1,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_17_15,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_4_40,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_8_13,1,0,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_15_1,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_15_1,2,1,True,success,,False,terminal_success
4572b198-2c1c-4920-bcf0-95fcebe12261_8_34,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_17_25,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_17_25,2,1,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_4_12,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_1,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_24,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_8,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_19,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_7_11,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_6_14,1,0,True,success,,False,terminal_success
71fbc5bf-7e2a-415d-86bc-3a948742e904_8_20,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_3_23,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_4_25,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_4_25,2,1,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_3_21,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_1_1,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_17_14,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_2_2,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_4_1,1,0,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_7_10,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_7_10,2,1,True,success,,False,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_1_3,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
115774b6-534d-444f-b7aa-d1b834eb0ee7_1_3,2,1,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_23_28,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_7_22,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_7_22,2,1,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_21_19,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_4_5,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_3_26,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_17_34,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_6_15,1,0,True,success,,False,terminal_success
7e512589-aa97-41e8-83d3-af2e83e4fd06_4_3,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_7_11,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_17_28,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_17_28,2,1,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_4_7,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_8_21,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_17_8,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_17_8,2,1,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_4_33,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_7_29,1,0,True,success,,False,terminal_success
d3a0899e-2093-454c-9f65-30087883193a_2_1,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_19,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_6_32,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_4_25,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_11_4,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_21,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_23_8,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_13,1,0,True,success,,False,terminal_success
41a86310-2cc1-48f9-b5b5-6b495a95fbac_17_38,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_7_8,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_7_28,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_6_7,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_21_27,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_22_5,2,1,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_17_13,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_17_13,2,1,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_7_23,1,0,True,success,,False,terminal_success
db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_failed
db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,2,1,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_failed
db3f7933-dfa0-4678-9d4f-393b628ded45_11_2,3,2,True,validation_failed,Direct Final answer_text does not match selected option,False,terminal_failed
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_17,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_15,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_13,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_25,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_4_2,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_7_4,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_8_20,1,0,True,success,,False,terminal_success
7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_11_12,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_17_29,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_8_27,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_7_21,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_7_17,1,0,True,success,,False,terminal_failed
819c8af7-851f-434f-ab32-318285bc54b1_17_22,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_17_22,2,1,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_4_19,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_17_26,1,0,True,success,,False,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_11_3,1,0,True,validation_failed,Direct Final answer_text does not match selected option,True,terminal_success
819c8af7-851f-434f-ab32-318285bc54b1_11_3,2,1,True,success,,False,terminal_success
