audit_id,question_id,task_id,arm,sample_role,original_abd_label,correction_label,sol_label,final_label,selected_review_version,source_record_id,source_file,source_sha256
E0001,4572b198-2c1c-4920-bcf0-95fcebe12261_17_14,B:4572b198-2c1c-4920-bcf0-95fcebe12261_17_14,B,not_in_correction,supported,,,supported,original_abd,E0001,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0002,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_7_5,D:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_7_5,D,not_in_correction,partially_supported,,,partially_supported,original_abd,E0002,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0003,819c8af7-851f-434f-ab32-318285bc54b1_11_14,D:819c8af7-851f-434f-ab32-318285bc54b1_11_14,D,not_in_correction,supported,,,supported,original_abd,E0003,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0004,41a86310-2cc1-48f9-b5b5-6b495a95fbac_7_39,D:41a86310-2cc1-48f9-b5b5-6b495a95fbac_7_39,D,not_in_correction,supported,,,supported,original_abd,E0004,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0005,a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_27,A:a6d45e95-8dc0-4932-83bf-ec53e265a16a_8_27,A,not_in_correction,contradicted,,,contradicted,original_abd,E0005,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0006,7e512589-aa97-41e8-83d3-af2e83e4fd06_6_15,A:7e512589-aa97-41e8-83d3-af2e83e4fd06_6_15,A,not_in_correction,unsupported,,,unsupported,original_abd,E0006,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0007,a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_19,B:a6d45e95-8dc0-4932-83bf-ec53e265a16a_7_19,B,not_in_correction,supported,,,supported,original_abd,E0007,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0008,115774b6-534d-444f-b7aa-d1b834eb0ee7_3_21,A:115774b6-534d-444f-b7aa-d1b834eb0ee7_3_21,A,control,partially_supported,unsupported,unsupported,unsupported,sol_independent_review,S67993FF47BA4,outputs/abd_eval300_disagreement_independent_review_v1/blinded_reviewer_output/blinded_reviews.jsonl,75fdab627ddf165f75133f026d0a6e605e6b838bdcb58912e752a67a0783557f
E0009,7e512589-aa97-41e8-83d3-af2e83e4fd06_8_12,D:7e512589-aa97-41e8-83d3-af2e83e4fd06_8_12,D,not_in_correction,supported,,,supported,original_abd,E0009,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0010,7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_6,D:7ddbf8a2-5b3e-44cd-b9dc-db17ec06831b_17_6,D,not_in_correction,supported,,,supported,original_abd,E0010,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0011,6fd90f8d-7a4d-425d-a812-3268db0b0342_17_5,B:6fd90f8d-7a4d-425d-a812-3268db0b0342_17_5,B,not_in_correction,partially_supported,,,partially_supported,original_abd,E0011,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0012,a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_21,B:a6d45e95-8dc0-4932-83bf-ec53e265a16a_17_21,B,not_in_correction,supported,,,supported,original_abd,E0012,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0013,819c8af7-851f-434f-ab32-318285bc54b1_3_12,A:819c8af7-851f-434f-ab32-318285bc54b1_3_12,A,not_in_correction,partially_supported,,,partially_supported,original_abd,E0013,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0014,70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_31,A:70f2a750-f403-41b8-aabb-480eb3ab4ed4_17_31,A,not_in_correction,unsupported,,,unsupported,original_abd,E0014,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
E0015,115774b6-534d-444f-b7aa-d1b834eb0ee7_8_26,A:115774b6-534d-444f-b7aa-d1b834eb0ee7_8_26,A,not_in_correction,unsupported,,,unsupported,original_abd,E0015,outputs/abd_eval300_evidence_audit_v1/scored_evidence_audit_blinded.jsonl,c44d08c95c22bc5f82fc5b97107d366b561ff0b617207e57a2899ec91a265c38
